/home/jegou/SemProj2/venvs/myenv/lib/python3.10/site-packages/gymnasium/wrappers/record_video.py:94: UserWarning: [33mWARN: Overwriting existing videos at /home/jegou/SemProj2/videoRL folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
Moviepy - Building video /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4.
Moviepy - Writing video /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4

t:   0%|          | 0/62 [00:00<?, ?it/s, now=None]t:   3%|▎         | 2/62 [00:00<00:09,  6.37it/s, now=None]t:   5%|▍         | 3/62 [00:00<00:08,  7.36it/s, now=None]t:  52%|█████▏    | 32/62 [00:00<00:00, 93.46it/s, now=None]t:  98%|█████████▊| 61/62 [00:00<00:00, 152.72it/s, now=None]                                                             Moviepy - Done !
Moviepy - video ready /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4
[Episode    0] total reward = 25.831388, length = 60

[    0 /  3001]
----------------------------------
actor loss = 13.733689
critic loss = 1499.776367
entropy = 8.448282
mean return = 0.129157
mean length = 0.30

Saving the model ... Done.

[Episode  342] total reward = 278.711212, length = 500
[Episode  343] total reward = 30.603237, length = 74
[Episode  344] total reward = 38.181358, length = 85
[Episode  345] total reward = 52.010750, length = 135
[Episode  346] total reward = 29.351530, length = 67
[Episode  347] total reward = 39.703640, length = 78
[Episode  348] total reward = 44.733116, length = 93
[Episode  349] total reward = 283.289124, length = 500
[Episode  350] total reward = 215.833221, length = 500
[Episode  351] total reward = 43.957321, length = 105
[Episode  352] total reward = 30.629398, length = 69
[Episode  353] total reward = 31.169548, length = 78
[Episode  354] total reward = 142.189880, length = 331
[Episode  355] total reward = 50.508568, length = 112
[Episode  356] total reward = 182.237244, length = 440
[Episode  357] total reward = 52.732983, length = 117
[Episode  358] total reward = 38.168171, length = 96
[Episode  359] total reward = 215.365723, length = 500
[Episode  360] total reward = 27.531456, length = 75
[Episode  361] total reward = 17.147762, length = 42
[Episode  362] total reward = 22.841494, length = 52
[Episode  363] total reward = 13.471317, length = 35
[Episode  364] total reward = 22.696039, length = 56
[Episode  365] total reward = 31.713636, length = 70
[Episode  366] total reward = 41.080948, length = 87
[Episode  367] total reward = 218.102066, length = 500
[Episode  368] total reward = 39.368572, length = 82
[Episode  369] total reward = 21.143131, length = 46
[Episode  370] total reward = 23.329639, length = 58
[Episode  371] total reward = 28.386543, length = 60
[Episode  372] total reward = 28.467201, length = 62
[Episode  373] total reward = 25.803291, length = 58
[Episode  374] total reward = 217.643356, length = 500
[Episode  375] total reward = 15.811188, length = 39
[Episode  376] total reward = 261.881165, length = 500
[Episode  377] total reward = 220.203308, length = 500
[Episode  378] total reward = 38.830082, length = 82
[Episode  379] total reward = 278.560120, length = 500
[Episode  380] total reward = 36.124607, length = 73
[Episode  381] total reward = 35.412704, length = 81
[Episode  382] total reward = 24.877197, length = 52
[Episode  383] total reward = 16.276365, length = 42
[Episode  384] total reward = 49.391983, length = 115
[Episode  385] total reward = 29.852098, length = 63
[Episode  386] total reward = 35.600311, length = 87
[Episode  387] total reward = 276.457458, length = 500
[Episode  388] total reward = 250.348511, length = 448
[Episode  389] total reward = 29.802454, length = 65
[Episode  390] total reward = 14.523259, length = 38
[Episode  391] total reward = 218.302536, length = 500
[Episode  392] total reward = 29.151455, length = 65
[Episode  393] total reward = 61.365097, length = 157
[Episode  394] total reward = 28.701839, length = 59
[Episode  395] total reward = 35.214554, length = 80
[Episode  396] total reward = 220.379181, length = 500
[Episode  397] total reward = 55.451874, length = 109
[Episode  398] total reward = 26.150524, length = 56
[Episode  399] total reward = 23.505119, length = 54
[Episode  400] total reward = 278.986450, length = 500
[Episode  401] total reward = 42.636497, length = 86
[Episode  402] total reward = 26.639353, length = 60
[Episode  403] total reward = 41.404316, length = 82
[Episode  404] total reward = 275.653778, length = 500
[Episode  405] total reward = 28.443356, length = 65
[Episode  406] total reward = 220.446350, length = 500
[Episode  407] total reward = 268.440125, length = 500
[Episode  408] total reward = 37.113243, length = 76
[Episode  409] total reward = 219.157532, length = 500
[Episode  410] total reward = 24.016655, length = 61
[Episode  411] total reward = 17.039509, length = 43
[Episode  412] total reward = 20.289852, length = 44
[Episode  413] total reward = 18.308645, length = 44
[Episode  414] total reward = 34.942268, length = 79
[Episode  415] total reward = 219.785599, length = 500
[Episode  416] total reward = 162.723648, length = 325
[Episode  417] total reward = 19.854235, length = 50
[Episode  418] total reward = 284.252533, length = 500
[Episode  419] total reward = 20.789631, length = 52
[Episode  420] total reward = 31.667139, length = 68
[Episode  421] total reward = 43.270782, length = 91
[Episode  422] total reward = 32.639099, length = 68
[Episode  423] total reward = 274.476135, length = 500
[Episode  424] total reward = 18.502316, length = 45
[Episode  425] total reward = 30.004639, length = 74
[Episode  426] total reward = 16.605055, length = 41
[Episode  427] total reward = 281.011108, length = 500
[Episode  428] total reward = 21.483572, length = 52
[Episode  429] total reward = 52.776794, length = 114
[Episode  430] total reward = 27.755234, length = 59
[Episode  431] total reward = 216.366669, length = 500
[Episode  432] total reward = 218.083481, length = 500
[Episode  433] total reward = 27.388256, length = 57
[Episode  434] total reward = 34.430710, length = 79
[Episode  435] total reward = 276.371094, length = 500
[Episode  436] total reward = 19.942005, length = 46
[Episode  437] total reward = 44.959499, length = 117
[Episode  438] total reward = 275.203796, length = 500
[Episode  439] total reward = 32.297058, length = 67
[Episode  440] total reward = 47.798630, length = 93
[Episode  441] total reward = 31.345730, length = 64
[Episode  442] total reward = 23.975264, length = 54
[Episode  443] total reward = 43.284832, length = 90
[Episode  444] total reward = 278.143738, length = 500
[Episode  445] total reward = 32.410152, length = 70
[Episode  446] total reward = 27.615273, length = 62
[Episode  447] total reward = 24.225639, length = 63
[Episode  448] total reward = 275.959717, length = 500
[Episode  449] total reward = 143.022186, length = 262
[Episode  450] total reward = 217.254196, length = 500
[Episode  451] total reward = 46.764595, length = 95
[Episode  452] total reward = 23.490894, length = 57
[Episode  453] total reward = 27.231453, length = 56
[Episode  454] total reward = 282.422607, length = 500
[Episode  455] total reward = 16.791733, length = 47
[Episode  456] total reward = 30.028379, length = 61
[Episode  457] total reward = 37.215096, length = 75
[Episode  458] total reward = 40.885262, length = 93
[Episode  459] total reward = 37.270939, length = 81
[Episode  460] total reward = 15.691898, length = 44
[Episode  461] total reward = 31.620657, length = 74
[Episode  462] total reward = 22.306644, length = 59
[Episode  463] total reward = 147.823303, length = 270
[Episode  464] total reward = 14.293464, length = 37
[Episode  465] total reward = 282.306000, length = 500
[Episode  466] total reward = 218.640594, length = 500
[Episode  467] total reward = 217.632416, length = 500
[Episode  468] total reward = 218.124146, length = 500
[Episode  469] total reward = 217.846283, length = 500
[Episode  470] total reward = 31.208727, length = 71
[Episode  471] total reward = 42.901283, length = 100
[Episode  472] total reward = 26.026978, length = 53
[Episode  473] total reward = 283.268066, length = 500
[Episode  474] total reward = 41.439575, length = 83
[Episode  475] total reward = 225.042557, length = 500
[Episode  476] total reward = 27.528580, length = 84
[Episode  477] total reward = 280.276855, length = 500
[Episode  478] total reward = 23.678244, length = 69
[Episode  479] total reward = 28.179037, length = 61
[Episode  480] total reward = 20.548571, length = 55
[Episode  481] total reward = 47.281609, length = 131
[Episode  482] total reward = 29.587440, length = 71
[Episode  483] total reward = 27.779835, length = 60
[Episode  484] total reward = 21.431772, length = 49
