id,type,group_name,target
25892,Sternal posterior rotator MN,,['LegNpT1_R']
26132,Sternotrochanter MN,,"['ADMNL', 'LegNpT2_L', 'MesoLNL', 'PDMNL', 'WTctUTct-T2_L']"
26241,IN04B031,14B_ACH_sets(12),['LegNpT1_R']
26281,IN19A029,,['LegNpT1_R']
26370,Acc. tr flexor MN,,['LegNpT2_R']
26399,IN16B018,,['LegNpT2_R']
26420,IN16B018,,['LegNpT2_L']
26566,Sternal anterior rotator MN,,"['DProNL', 'LegNpT1_L', 'VProNL']"
26588,Acc. tr flexor MN,,['LegNpT1_L']
26613,Tr flexor MN,,['LegNpT1_L']
26658,Acc. ti flexor MN,,['LegNpT1_R']
26777,Acc. ti flexor MN,,[]
26823,IN19A021,4_GABA_sets(30),['LegNpT3_L']
26883,Tr flexor MN,,"['LegNpT3_R', 'MetaLNR']"
27028,Tr extensor MN,,['LegNpT1_R']
27258,Sternal posterior rotator MN,,"['LegNpT3_L', 'MetaLNL']"
27711,IN16B018,,['LegNpT2_L']
28219,Sternal posterior rotator MN,,['LegNpT3_R']
28226,IN16B018,,"['LegNpT2_L', 'OvL']"
28884,Fe reductor MN,,['LegNpT1_R']
28997,Tr flexor MN,,['LegNpT3_R']
29187,Fe reductor MN,,['LegNpT2_L']
29432,IN04B037,14B_ACH_sets(12),['LegNpT3_R']
29484,Fe reductor MN,,['LegNpT1_R']
29689,Sternal posterior rotator MN,,['LegNpT1_L']
29776,IN16B018,,"['LegNpT2_R', 'OvR']"
30306,Tr extensor MN,,"['LegNpT2_L', 'MesoLNL']"
34004,Acc. tr flexor MN,,['LegNpT3_L']
34115,Tr flexor MN,,['LegNpT2_R']
35432,Fe reductor MN,,['LegNpT2_R']
37220,Ti flexor MN,,['LegNpT3_R']
40218,IN19A029,,['LegNpT1_L']
40443,Tr flexor MN,,"['LegNpT3_R', 'MetaLNR']"
41353,Tr flexor MN,,['LegNpT1_R']
41439,Tr flexor MN,,['LegNpT3_R']
41482,Pleural remotor/abductor MN,,"['LegNpT2_R', 'MesoLNR']"
41933,Tr flexor MN,,['LegNpT1_R']
42738,Fe reductor MN,,['LegNpT2_R']
45494,Fe reductor MN,,['LegNpT2_L']
45807,IN19A029,,['LegNpT1_R']
49886,Sternal posterior rotator MN,,['LegNpT2_L']
96565,Tr flexor MN,,['LegNpT3_R']
100352,IN13A021,,['LegNpT1_L']
100492,IN03A010,4_ACH_sets(24),['LegNpT1_L']
100515,Sternotrochanter MN,,"['LegNpT1_L', 'VProNL']"
100544,INXXX464,4_ACH_sets_2(24),['LegNpT2_R']
100707,Ti flexor MN,,['LegNpT2_L']
